section,mask_id_xenium,mask_id_cz,match_iou,cell_id_xenium,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
7,9352,1952,0.734375,jdihdjei-1,CS20230722_CLAS_01,01 IT-ET Glut,0.99,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.73,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.73
7,9353,2469,0.5730337078651685,jdiimahc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.81,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.53
7,9354,1953,0.6782608695652174,jdiimndp-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.89,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.79
7,9357,2396,0.7981651376146789,jdjhjdmc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.9,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.88,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.48
7,9358,2395,0.6521739130434783,jdjljjpo-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,1.0,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.67
7,9360,2186,0.6037735849056604,jdjpkdla-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.93,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.6
7,9361,2058,0.7222222222222222,jdkbpfmo-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.82,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.94
7,9362,2324,0.7863247863247863,jdkdenap-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.7,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.54
7,9364,2122,0.5070422535211268,jdkfipni-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.82,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.51
7,9416,2191,0.5637583892617449,jegcmooh-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.91,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.58,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.68
7,9419,2124,0.6504065040650406,jegnkhjm-1,CS20230722_CLAS_01,01 IT-ET Glut,0.96,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.8,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.69
7,9420,2056,0.5739130434782609,jegobljf-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.43,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.63
7,9421,2118,0.5851063829787234,jehenhea-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.58,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.94
7,9429,1797,0.6881720430107527,jeikjkoo-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.99,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.94,CS20230722_CLUS_0110,0110 L2/3 IT CTX Glut_2,233,0.86
7,9430,2279,0.5567010309278351,jejfobbc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.98,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.71,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.91
7,9432,1900,0.6666666666666666,jekhenpc-1,CS20230722_CLAS_01,01 IT-ET Glut,1.0,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.7,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.57
